Subject,Level,Strand,Sub-strand,Description,Code
Media Arts,ABLEWA Stage A,Stage A Content Descriptions,Explore and Represent Ideas,"Experience characters and settings through stories in images, sounds and multi-modal texts (VCAMAE001)",VCAMAE001
Media Arts,ABLEWA Stage A,Stage A Content Descriptions,Media Arts Practices,Experience media technologies to capture images and sounds for a story (VCAMAM002),VCAMAM002
Media Arts,ABLEWA Stage A,Stage A Content Descriptions,Present and Perform,Experience the presentation of media artworks (VCAMAP003),VCAMAP003
Media Arts,ABLEWA Stage A,Stage A Content Descriptions,Respond and Interpret,React to stimuli in media artworks (VCAMAR004),VCAMAR004
Media Arts,ABLEWA Stage B,Stage B Content Descriptions,Explore and Represent Ideas,"Respond to characters and settings through images, sounds and multi-modal texts (VCAMAE005)",VCAMAE005
Media Arts,ABLEWA Stage B,Stage B Content Descriptions,Media Arts Practices,Use media technologies to select images and sounds for a story (VCAMAM006),VCAMAM006
Media Arts,ABLEWA Stage B,Stage B Content Descriptions,Present and Perform,Share media artworks that communicate ideas or familiar story (VCAMAP007),VCAMAP007
Media Arts,ABLEWA Stage B,Stage B Content Descriptions,Respond and Interpret,Respond to media artworks (VCAMAR008),VCAMAR008
Media Arts,ABLEWA Stage C,Stage C Content Descriptions,Explore and Represent Ideas,"Explore different ways of representing characters and settings through images, sounds and multi-modal texts (VCAMAE009)",VCAMAE009
Media Arts,ABLEWA Stage C,Stage C Content Descriptions,Media Arts Practices,Assist in the use of media technologies to capture images and sounds for a story (VCAMAM010),VCAMAM010
Media Arts,ABLEWA Stage C,Stage C Content Descriptions,Present and Perform,Present media artworks that communicate an idea or concept (VCAMAP011),VCAMAP011
Media Arts,ABLEWA Stage C,Stage C Content Descriptions,Respond and Interpret,Respond to media artworks by answering questions using one word responses or images (VCAMAR012),VCAMAR012
Media Arts,ABLEWA Stage D,Stage D Content Descriptions,Explore and Represent Ideas,"Explore ideas, characters and settings through stories in images, sounds and multi-modal texts (VCAMAE013)",VCAMAE013
Media Arts,ABLEWA Stage D,Stage D Content Descriptions,Media Arts Practices,"Develop skills to use media technology to capture images, sounds and text for a story (VCAMAM014)",VCAMAM014
Media Arts,ABLEWA Stage D,Stage D Content Descriptions,Present and Perform,Present media artworks that communicate a simple idea or story (VCAMAP015),VCAMAP015
Media Arts,ABLEWA Stage D,Stage D Content Descriptions,Respond and Interpret,Respond to media artworks and describe some of the characteristics they observe (VCAMAR016),VCAMAR016
Media Arts,Pre-Primary,Making,Ideas,"Exploration and experimentation with images, with or without text, to communicate messages (ACAMAM054)",ACAMAM054
Media Arts,Pre-Primary,Making,Ideas,"Familiarisation of signs and symbols, including logos and icons, that have meaning and purpose (ACAMAM054)",ACAMAM054
